id,jurusan_smk,mapel_favorit,hobi_spesifik,tipe_kerja,sosial,target_industri,rekomendasi_jurusan_kuliah
55,Teknik Pemesinan (TPM),Fisika,CNC Programming,Laboratorium,Mandiri,Manufaktur,Teknik Mesin
56,Teknik Pemesinan (TPM),Matematika,Material Testing,Laboratorium,Tim,Manufaktur,Teknik Material
57,Teknik Sepeda Motor (TSM),Fisika,Tuning Mesin,Lapangan,Mandiri,Otomotif,Teknik Mesin
58,Teknik Sepeda Motor (TSM),Matematika,Manajemen Bengkel,Lapangan,Tim,Bisnis,Manajemen Bisnis
59,Teknik Kendaraan Ringan (TKR),Fisika,Elektrifikasi Kendaraan,Laboratorium,Tim,Otomotif,Teknik Otomotif
60,Teknik Kendaraan Ringan (TKR),Matematika,Sistem Hidrolik,Lapangan,Tim,Manufaktur,Teknik Mesin
61,Desain Pemodelan Dan Informasi Bangunan (DPIB),Seni Budaya,Maket Arsitektur,Studio,Mandiri,Konstruksi,Arsitektur
62,Desain Pemodelan Dan Informasi Bangunan (DPIB),Matematika,Perencanaan Kota,Layar Komputer,Tim,Pemerintahan,Perencanaan Wilayah dan Kota
63,Teknik Konstruksi Dan Perumahan (TKP),Matematika,Estimasi Biaya Proyek,Layar Komputer,Mandiri,Konstruksi,Manajemen Konstruksi
64,Teknik Konstruksi Dan Perumahan (TKP),Fisika,Uji Kelayakan Struktur,Lapangan,Tim,Konstruksi,Teknik Sipil
65,Rekayasa Perangkat Lunak (RPL),Bahasa Inggris,Manajemen Tim Developer,Layar Komputer,Tim,Teknologi,Sistem Informasi
66,Rekayasa Perangkat Lunak (RPL),Matematika,Pengembangan AI,Layar Komputer,Mandiri,Teknologi,Sains Data
67,Teknik Komputer Dan Jaringan (TKJ),Fisika,Jaringan Nirkabel,Lapangan,Tim,Teknologi,Teknik Telekomunikasi
68,Teknik Komputer Dan Jaringan (TKJ),Bahasa Inggris,Cloud Computing,Layar Komputer,Mandiri,Teknologi,Teknik Informatika
69,Desain Komunikasi Visual (DKV),Seni Budaya,Fotografi Produk,Studio,Mandiri,Bisnis,Desain Komunikasi Visual (DKV)
70,Desain Komunikasi Visual (DKV),Ekonomi,Digital Marketing,Layar Komputer,Tim,Bisnis,Ilmu Komunikasi
71,Produksi Film (PRF),Seni Budaya,Editing Video,Layar Komputer,Mandiri,Media,Televisi dan Film
72,Produksi Film (PRF),Bahasa Inggris,Jurnalistik Penyiaran,Lapangan,Tim,Media,Ilmu Komunikasi
73,Teknik Audio Video (TAV),Fisika,Perakitan Amplifier,Laboratorium,Mandiri,Manufaktur,Teknik Elektro
74,Teknik Audio Video (TAV),Matematika,Sistem Kontrol,Laboratorium,Tim,Manufaktur,Teknik Mekatronika
75,Teknik Instalasi Dan Tenaga Listrik (TITL),Fisika,Energi Terbarukan,Lapangan,Tim,Riset,Teknik Tenaga Listrik
76,Teknik Instalasi Dan Tenaga Listrik (TITL),Matematika,Estimasi Daya,Layar Komputer,Mandiri,Konstruksi,Teknik Elektro
77,Teknik Pendingin Tata Udara Dan Pemanasan (TPTUP),Fisika,Desain Refrigerasi,Layar Komputer,Mandiri,Manufaktur,Teknik Mesin
78,Teknik Pendingin Tata Udara Dan Pemanasan (TPTUP),Ekonomi,Manajemen Logistik Suhu Dingin,Layar Komputer,Tim,Bisnis,Manajemen Logistik
79,Teknik Pemesinan (TPM),Fisika,Desain CAD/CAM,Layar Komputer,Mandiri,Manufaktur,Teknik Mesin
80,Teknik Pemesinan (TPM),Bahasa Inggris,Quality Control,Laboratorium,Tim,Manufaktur,Teknik Industri
81,Teknik Sepeda Motor (TSM),Fisika,Perakitan Komponen,Lapangan,Tim,Manufaktur,Teknik Industri
82,Teknik Sepeda Motor (TSM),Seni Budaya,Modifikasi Visual,Studio,Mandiri,Otomotif,Desain Produk
83,Teknik Kendaraan Ringan (TKR),Fisika,Sistem Rem ABS,Laboratorium,Tim,Otomotif,Teknik Otomotif
84,Teknik Kendaraan Ringan (TKR),Ekonomi,Manajemen Dealer Otomotif,Layar Komputer,Tim,Bisnis,Manajemen
85,Desain Pemodelan Dan Informasi Bangunan (DPIB),Seni Budaya,Desain Interior,Studio,Mandiri,Konstruksi,Desain Interior
86,Desain Pemodelan Dan Informasi Bangunan (DPIB),Fisika,Mekanika Tanah,Lapangan,Tim,Konstruksi,Teknik Sipil
87,Teknik Konstruksi Dan Perumahan (TKP),Seni Budaya,Konservasi Bangunan,Lapangan,Tim,Konstruksi,Arsitektur
88,Teknik Konstruksi Dan Perumahan (TKP),Matematika,Penjadwalan Proyek,Layar Komputer,Mandiri,Konstruksi,Teknik Sipil
89,Rekayasa Perangkat Lunak (RPL),Fisika,Pengembangan Game PC,Layar Komputer,Tim,Hiburan,Teknik Informatika
90,Rekayasa Perangkat Lunak (RPL),Bahasa Inggris,Technical Writing,Layar Komputer,Mandiri,Teknologi,Sastra Inggris
91,Teknik Komputer Dan Jaringan (TKJ),Matematika,Analisis Jaringan,Layar Komputer,Mandiri,Teknologi,Sains Data
92,Teknik Komputer Dan Jaringan (TKJ),Ekonomi,Teknopreneurship,Layar Komputer,Tim,Bisnis,Kewirausahaan
93,Desain Komunikasi Visual (DKV),Sejarah,Ilustrasi Sejarah,Studio,Mandiri,Edukasi,Desain Komunikasi Visual (DKV)
94,Desain Komunikasi Visual (DKV),Seni Budaya,Motion Graphics,Layar Komputer,Mandiri,Media,Animasi
95,Produksi Film (PRF),Fisika,Pencahayaan Studio,Studio,Tim,Media,Teknik Elektro
96,Produksi Film (PRF),Seni Budaya,Desain Produksi,Studio,Tim,Industri Kreatif,Televisi dan Film
97,Teknik Audio Video (TAV),Matematika,Pengolahan Sinyal Digital,Layar Komputer,Mandiri,Teknologi,Teknik Telekomunikasi
98,Teknik Instalasi Dan Tenaga Listrik (TITL),Matematika,Audit Energi,Lapangan,Tim,Konsultan,Teknik Sistem Energi
99,Teknik Pemesinan (TPM),Seni Budaya,Pembuatan Molding,Laboratorium,Tim,Manufaktur,Desain Produk
100,Rekayasa Perangkat Lunak (RPL),Bahasa Inggris,Mobile App Development,Layar Komputer,Tim,Teknologi,Teknik Informatika
